 0 0 12 2 0 37
aiccu 0 4 1 1 1 0
aide 0 0 7 0 0 13
aiksaurus 0 0 7 9 1 0
aiocoap 0 0 4 3 2 0
aiodns 0 1 1 1 0 0
aiohttp-cors 0 0 1 1 0 0
aiohttp-jinja2 0 0 2 1 0 0
aiohttp-mako 0 0 2 1 0 0
aiopg 0 0 1 1 0 0
aioredis 0 0 1 1 0 0
aioxmlrpc 0 0 2 1 0 0
aiozmq 0 2 3 1 2 0
air-quality-sensor 0 2 5 0 0 0
aircrack-ng 0 0 4 1 0 0
airlift-airline 0 1 1 2 0 0
airlift-slice 0 0 2 2 0 0
airport-utils 0 0 1 3 0 0
airspy-host 0 6 25 7 0 0
airstrike 0 0 1 1 1 0
aiscm 0 0 1 0 0 1
aisleriot 0 1 51 1 0 0
aj-snapshot 0 1 1 1 1 0
ajaxterm 2 2 6 3 0 0
akonadi 0 28 56 23 2 0
akonadi-calendar 0 0 4 5 0 0
akonadi-search 0 4 49 16 0 0
akonadi4 0 3 11 5 0 0
akuma 0 1 1 3 0 0
alabaster 0 0 1 3 8 2
alacarte 1 2 5 3 0 0
alarm-clock-applet 0 1 14 1 0 0
albatross-gtk-theme 0 0 1 2 0 0
alberta 0 7 23 1 7 0
album 0 0 2 1 0 0
album-data 0 1 117 1 0 4
aldo 0 5 3 5 0 0
ale 0 1 1 1 2 0
alembic 0 1 0 2 2 0
alevt 0 2 18 2 3 0
alex 0 3 9 1 0 0
alex4 0 0 2 4 1 0
alfa 0 0 3 3 0 0
alfred 0 1 1 0 0 0
alglib 0 1 10 9 1 0
algobox 0 1 14 1 0 4
algol68g 0 4 4 2 1 0
algotutor 0 2 4 3 0 0
alice 0 2 5 2 1 0
alien 0 1 6 0 0 0
alien-arena 0 1 11 6 2 0
alien-arena-data 0 2 9 3 0 0
alien-hunter 0 0 2 3 0 0
alienblaster 0 1 14 1 0 2
aliki 0 0 1 3 2 0
all-in-one-sidebar 0 0 1 1 0 0
all-knowing-dns 1 3 4 1 1 0
allegro4.4 0 0 39 6 9 23
allegro5 0 0 15 2 2 0
alleyoop 0 4 8 2 2 0
alliance 0 229 1987 3 96 0
alljoyn-core-1504 0 1 25 1 57 0
alljoyn-core-1509 0 2 21 1 62 0
alljoyn-core-1604 0 2 21 1 51 0
alljoyn-gateway-1504 0 2 5 1 1 2
alljoyn-services-1504 0 31 21 1 2 2
alljoyn-services-1509 0 23 17 1 1 2
alljoyn-services-1604 0 17 33 1 0 0
alljoyn-thin-client-1504 0 0 3 7 30 0
alljoyn-thin-client-1509 0 0 3 7 30 0
alljoyn-thin-client-1604 0 0 3 7 30 0
alltray 2 4 20 2 2 4
almanah 2 3 5 1 0 0
almond 1 2 1 3 0 0
alot 0 0 0 0 0 3
alpine 1 3 65 11 5 0
alqalam 0 2 7 3 0 0
alsa-lib 0 8 13 1 2 1
alsa-oss 0 3 13 2 3 6
alsa-plugins 0 0 4 2 3 0
alsa-tools 0 46 50 1 19 0
alsa-utils 0 8 8 1 10 0
alsaequal 0 3 9 3 2 0
alsamixergui 0 1 8 6 2 0
alsaplayer 2 2 87 25 10 0
alsoft-conf 0 0 4 3 1 2
alt-ergo 1 2 7 0 0 0
alt-key 0 1 7 2 0 0
alter-sequence-alignment 0 1 2 3 0 0
altermime 0 0 6 1 1 1
altos 0 8 117 4 23 0
altree 0 3 10 1 16 0
alure 0 19 20 9 0 0
am-utils 3 39 74 10 3 0
amanda 1 34 76 8 41 64
amap-align 0 1 3 6 1 1
amarok 0 6 142 8 9 29
amavisd-milter 2 6 3 1 2 0
amavisd-new 0 11 14 3 0 0
amazon-s2n 0 0 5 3 0 0
amb-plugins 0 0 1 1 0 0
ambdec 0 0 1 1 2 0
amd64-microcode 0 2 6 1 0 0
amide 0 0 10 4 1 0
amideco 0 5 9 7 1 0
amiga-fdisk 0 1 4 1 1 0
amispammer 0 2 1 1 0 0
amiwm 1 27 23 4 2 0
amoeba 0 11 33 4 1 0
amoeba-data 1 7 3 7 0 0
amoebax 0 0 3 4 1 0
amora-server 0 5 12 6 2 0
amphetamine 0 1 8 1 1 0
amphetamine-data 0 1 3 3 0 0
ample 2 1 5 1 1 0
ampliconnoise 0 3 28 3 13 0
ampr-ripd 0 0 1 3 1 0
amqp-specs 13 2 2 3 0 0
ams 0 4 10 1 1 0
amsynth 0 2 17 3 6 0
amtterm 0 0 20 3 0 0
amule 2 68 83 2 4 0
amule-emc 0 4 7 4 0 0
an 0 1 5 4 1 0
anacron 0 3 3 2 1 0
analitza 2 0 16 27 0 0
analog 0 0 10 4 6 0
anarchism 0 0 3 1 2 1
and 2 2 5 3 1 0
andi 0 1 1 1 1 0
androguard 0 20 8 5 24 3
android-androresolvd 2 4 9 2 1 0
android-framework-23 0 1 21 3 0 0
android-permissions 0 2 2 0 0 2
android-platform-build 0 0 5 10 2 2
android-platform-dalvik 0 4 13 12 3 2
android-platform-development 0 0 3 3 1 4
android-platform-external-doclava 0 1 1 5 0 0
android-platform-external-jsilver 0 1 1 2 0 0
android-platform-external-libselinux 0 2 3 5 1 0
android-platform-external-libunwind 0 2 6 1 1 1
android-platform-frameworks-base 0 6 19 12 5 6
android-platform-frameworks-data-binding 0 1 2 36 0 0
android-platform-frameworks-native 0 2 4 6 0 0
android-platform-libcore 0 0 1 5 0 0
android-platform-libnativehelper 0 2 7 5 0 0
android-platform-system-core 0 23 58 44 12 10
android-platform-system-extras 0 4 9 9 3 0
android-platform-system-tools-aidl 0 2 9 3 5 0
android-platform-tools-analytics-library 0 1 2 1 0 0
android-platform-tools-apksig 0 0 5 2 0 0
android-platform-tools-base 0 10 8 1 0 34
android-platform-tools-swt 0 11 1 11 0 0
android-sdk-helper 0 0 1 0 0 0
android-sdk-meta 0 41 2 0 0 0
android-tools 0 22 20 6 0 0
androidsdk-tools 0 0 7 11 0 0
anet 0 0 6 5 0 0
anfo 0 0 15 7 0 0
angband 0 2 7 23 1 2
angband-audio 0 2 1 2 0 0
angband-doc 0 1 2 0 0 0
angrydd 0 0 1 2 0 1
angular-maven-plugin 0 0 2 0 0 3
angular.js 0 2 4 187 2 179
animal-sniffer 0 0 1 3 0 0
animals 0 1 7 2 1 0
animate.css 0 1 1 2 0 0
anjuta 0 13 133 2 20 0
anjuta-extras 0 0 12 2 1 0
anki 0 0 5 2 0 0
ann 0 2 19 7 2 0
anna 2 0 1 1 1 0
annotation-indexer 1 1 3 3 0 0
anomaly 0 1 4 1 0 0
anope 0 5 341 2 2 24
ansible 0 1 501 1 0 0
ansible-tower-cli 0 2 1 2 1 0
ansiweather 0 1 1 1 0 0
ant 0 0 41 8 0 0
ant-contrib 0 0 2 2 0 0
antelope 0 2 3 3 0 0
antennavis 0 2 5 1 1 0
anthy 0 21 12 1 9 2
antigrav 0 0 4 6 2 0
antiword 0 1 3 2 0 2
antlr 1 3 8 6 36 0
antlr-maven-plugin 0 4 3 2 0 1
antlr3 0 0 2 8 0 0
antlr3.2 0 0 2 5 0 0
antlr4 0 0 1 1 0 0
antpm 0 3 12 12 5 0
ants 23 32 1680 6 133 12
anypaper 0 1 4 1 0 0
anyremote 0 0 1 2 5 0
anything-el 1 3 2 2 0 0
anytun 0 0 26 5 2 18
aodh 0 18 21 9 0 0
aoetools 0 2 3 1 1 0
aoeui 0 6 13 2 2 0
aoflagger 0 0 48 7 1 0
aolserver4 0 77 159 7 12 0
aolserver4-nsldap 0 11 13 2 0 0
aolserver4-nsmysql 0 8 9 1 0 0
